Title,Channel,Subscribers,Views,Likes,Duration (seconds),URL
"Kabhi Tera Daman Na Chhodenge Hum|Mohammed Rafi, Asha Bhosle |Neend Hamari Khwab Tumhare Songs",Goldmines Gaane Sune Ansune,"45,600,000","39,599,708","67,092",258,https://www.youtube.com/watch?v=ZRuLC0uLXG8
Aisa Sama Na Hota Full Video - Zameen Aasman|Sanjay Dutt|Lata Mangeshkar|R.D. Burman,SonyMusicIndiaVEVO,"54,800,000","34,307,577","143,902",289,https://www.youtube.com/watch?v=vDFyP6gliFQ
Chura Liya Hai Tumne Live by Asha Bhosle,amitava1988,"287,000","33,750,318","169,652",315,https://www.youtube.com/watch?v=Ob8rBaUT0Yk
Rangeela Re | Urmila Matondkar | Aditya Narayan | Asha Bhosle | Rangeela Movie | Popular Hindi Song,Tips Official,"73,400,000","24,846,584","107,148",344,https://www.youtube.com/watch?v=QSpQkE5D_WI
"Tumse Milke Lyrical - Parinda | R. D. Burman | Asha Bhosle & Suresh Wadkar | Anil Kapoor, Madhuri",Tips Official,"73,400,000","19,351,847","114,213",332,https://www.youtube.com/watch?v=9ieB2Pmq58E
Esho Alo Esho Hey | Abishkar | Asha Bhosle | Bengali Devotional Songs,Sony Music Bangla,"1,530,000","17,243,243","62,585",300,https://www.youtube.com/watch?v=mUT3A6qyBtU
Kahin Aag Lage Lag Jaave - Taal | Aishwarya Rai | Asha Bhosle | A R Rahman | 90's Song,Golden Hits,"3,140,000","12,347,945","46,909",335,https://www.youtube.com/watch?v=sYTYMvFen9U
Chura Liya Hai Tumne Jo Dil Ko | Lyrical | Zeenat Aman | Asha Bhosle,Old Hindi Songs,"1,470,000","9,567,851","60,820",298,https://www.youtube.com/watch?v=XuCp0r3vhPQ
Mausam Mastana - 4K Video | Ranjeeta Kaur | Satte Pe Satta | Asha Bhosle | R.D. Burman,Goldmines Gaane Sune Ansune,"45,600,000","7,778,251","39,254",261,https://www.youtube.com/watch?v=m3jWuZVJ8W4
Salona Sa Sajan Hai Aur Main Hoon with lyrics | सलोना सा सजन है और मैं हूँ | Asha Bhosle,Saregama Music,"53,400,000","4,844,395","66,726",308,https://www.youtube.com/watch?v=lkOg15y3uqk
Ruperi Valut Madanchya with lyrics | रुपेरी वाळूत | Asha Bhosle | Kavi Gaurav Shantaram Nandgaokar,Saregama Marathi,"3,660,000","4,447,956","28,629",190,https://www.youtube.com/watch?v=J4s__qsMwGc
"AAO HUZOOR TUMKO Full Song 4K - Asha Bhosle HIT Song - Kismat Movie Songs - Biswajeet, Babita",SuperHit Gaane,"7,540,000","2,865,622","21,310",343,https://www.youtube.com/watch?v=1thHKvD1U-M
"Piya Bawri Piya Bawri | Ashok Kumar, Asha Bhosle | Khubsoorat 1980 Songs | Rekha, Rakesh Roshan",Goldmines Gaane Sune Ansune,"45,600,000","1,780,817","15,085",317,https://www.youtube.com/watch?v=b9DhcPqGd0g
"Jaaiye Aap Kahan Jayenge | Asha Bhosle | Asha Parekh, Biswajit Chatterjee | Mere Sanam",Hindi Filmi Songs,"350,000","1,752,083","7,282",369,https://www.youtube.com/watch?v=MpawL4IZfKg
LE GAYI | Asha Bhosle Live | Bengali Music Directory,Bengali Music Directory | BMD,"689,000","1,132,914","10,887",299,https://www.youtube.com/watch?v=ZAo4U60Yw2I
Daiya Yeh Main Kahan Phasi Hd Song - Asha Bhosle | Asha Parekh | Jeetendra | Caravan,Gaane Naye Purane,"10,000,000","996,441","5,250",371,https://www.youtube.com/watch?v=gT7dABHA92E
"Chori Chori Solah Singar | Asha Bhosle | Manoranjan | Full Song HD | Zeenat Aman , Sanjeev Kumar",Red Chillies Entertainment,"13,300,000","832,109","3,913",288,https://www.youtube.com/watch?v=DD4GlZwFlYs
"Aao Na Gale Laga Lo Na 4K - Asha Bhosle Hit Song - Helen, Rajesh Khanna - Mere Jeevan Sathi Songs",SuperHit Gaane,"7,540,000","431,405","4,848",236,https://www.youtube.com/watch?v=ATdrAcWLuhw
Aaiye Meherbaan | Gul Saxena | Live | Howrah Bridge | Asha Bhosle | Madhubala & Ashok Kumar,Gul Saxena,"220,000","372,739","2,160",279,https://www.youtube.com/watch?v=yrghizg3Y4M
Asha Bhosle Hit Songs - Zindagi Se Pyar Karna Seekh Le 4K | Shashikala | Old Hindi Songs,SuperHit Gaane,"7,540,000","372,363","2,029",363,https://www.youtube.com/watch?v=zSo7l1M4eag
Kina Baddaichha Dhukdhuki - Asha Bhosle | Nepali Movie Song,Music Nepal Entertainment,"778,000","311,859","2,634",392,https://www.youtube.com/watch?v=WpEuljBlmio

