Title,Channel,Subscribers,Views,Likes,Duration (seconds),URL
"Main Hosh Main Tha,Tau Phir Us Pay Mar Ga'ya Kaisay...!!!",ساقی حسن,"187,000","26,202,902","147,871",433,https://www.youtube.com/watch?v=IjTa4Yo6jj4
Mehdi Hassan Live...Rafta Rafta Woh Meri (Rare Version),qadrathejutt,"135,000","16,986,909","132,385",380,https://www.youtube.com/watch?v=jtzioa3ddKE
Mehdi Hassan - मै होश में था | Main Hosh Mein Tha Full Song | Best Ghazal Song,Ishtar Music,"48,900,000","11,271,407","72,719",446,https://www.youtube.com/watch?v=zEA8F2vcVn0
Coke Studio Season 12 | Gulon Main Rang | Ali Sethi,Coke Studio Pakistan,"16,100,000","10,612,404","145,404",391,https://www.youtube.com/watch?v=hR8FEdC6aAs
MUJHE TUM NAZAR SE GIRA TO RAHAY HO (GHAZAL) - MEHDI HASSAN - FILM DORAHA,VintageLollywood,"294,000","8,854,106","100,367",215,https://www.youtube.com/watch?v=B21O_RSjUn4
Rafta Rafta Woh Meri Hasti Ka,Mehdi Hassan - Topic,"102,000","6,960,721","85,943",226,https://www.youtube.com/watch?v=Y01l7QTtIoE
Baant Raha Tha Jab Khuda - Mehdi Hassan & Nahid Akhtar | @EMIPakistanOfficial  Originals,EMI Pakistan,"652,000","6,318,818","31,984",387,https://www.youtube.com/watch?v=dGJ8a_SX8FU
RAFTA RAFTA WOH MERY HASTI KA SAMAN HO GAYE MEHDI HASSAN.,VintagePakMelodies,"152,000","6,102,944","37,639",220,https://www.youtube.com/watch?v=4S7ExLJjxSo
Hum Se Badal Gaya Woh Nigahen  -  Mehdi Hassan,Bilal Saleem,"327,000","5,553,707","35,581",213,https://www.youtube.com/watch?v=F3UQSRJqqJE
HAMARE DIL SE MAT KHELO (Super Hit) - MEHDI HASSAN - FILM DAMAN AUR CHINGARI,LollywoodClassics,"2,160,000","5,214,340","16,276",317,https://www.youtube.com/watch?v=S13eR7bHVSs
AB KE HUM BICHDE TO SHAYAD KABHI KHWABON MAIN MILE MEHDI HASSAN.,VintagePakMelodies,"152,000","4,516,994","22,761",301,https://www.youtube.com/watch?v=UCtgvtwUIU4
Mehdi Hassan /Tari Khan Live......Zindagi Mein Tu Sabhi,qadrathejutt,"135,000","4,397,790","27,406",600,https://www.youtube.com/watch?v=V4hejGiRdSY
Ab Ke Hum Bichhrey - Mehdi Hassan - Top Ghazal Songs,Shemaroo,"57,600,000","4,137,730","34,702",1005,https://www.youtube.com/watch?v=KA8Iw6FMPeE
Bhare Jahan Mein,Mehdi Hassan - Topic,"102,000","3,764,646","43,034",457,https://www.youtube.com/watch?v=6-fmE04JSro
Ap Ko Bhool Jaien Hum - Mehdi Hassan  / Noor Jahan,Bilal Saleem,"327,000","3,621,105","17,268",212,https://www.youtube.com/watch?v=M6jN0udsblo
EK BAAR CHALE AAO PHIR AA KE CHALE JAANA MEHDI HASSAN..,VintagePakMelodies,"152,000","3,252,015","10,193",191,https://www.youtube.com/watch?v=h_mAA0CTWD0
ZINDAGYI MAIN TOU SABHI PYAR KIYA KARTE (Full Song) - MEHDI HASSAN - PAKISTANI FILM AZMAT,LollywoodClassics,"2,160,000","3,219,049","12,941",199,https://www.youtube.com/watch?v=4dcIvP8_sRk
