Title,Channel,Subscribers,Views,Likes,Duration (seconds),URL
Jhilmil Sitaron Ka Aangan Hoga - Mohammad Rafi & Lata Mangeshkar - Laxmikant Pyarelal Songs,Bollywood Classics,"20,600,000","148,301,947","414,237",321,https://www.youtube.com/watch?v=v13cUeX6_co
"Aadmi Musafir Hai Aata Hai Jata Hai (I) | Lata Mangeshkar, Mohammed Rafi | Apnapan 1977 Songs",Goldmines Gaane Sune Ansune,"45,600,000","121,986,718","332,383",273,https://www.youtube.com/watch?v=ipePh7hAkYc
"Jo Wada Kiya Woh Nibhana Padega Full Song With Lyrics | Mohammed Rafi, Lata Mangeshkar | Taj Mahal",Goldmines Gaane Sune Ansune,"45,600,000","111,909,261","349,981",199,https://www.youtube.com/watch?v=u-ioONenaAQ
Patthar Ke Sanam Tujhe Humne | Mohammed Rafi |  Patthar Ke Sanam 1967 Songs| Waheeda Rehman,Goldmines Gaane Sune Ansune,"45,600,000","109,226,446","363,934",313,https://www.youtube.com/watch?v=Ij20-IEUTjg
Do Raaste - Yeh Reshmi Zulfein Yeh Sharbati Aankhein - Mohd Rafi,Shemaroo,"57,600,000","105,581,565","358,213",241,https://www.youtube.com/watch?v=q9aMSJGAkeY
Mere Huzoor - Gum Uthane Ke Liye Main To Jiye Jaunga - Mohd.Rafi,Shemaroo,"57,600,000","91,595,330","223,863",286,https://www.youtube.com/watch?v=RJBqyi-o4qw
"Badan Pe Sitare Lapete Huye | Mohammad Rafi | Prince | Shammi Kapoor, Vyjayanthimala",Red Chillies Entertainment,"13,300,000","79,942,364","516,734",345,https://www.youtube.com/watch?v=MkABeVCv4lw
"Aaj Mausam Bada Beimaan Hai - Dharmendra, Mohammed Rafi, Loafer Song",Ultra Bollywood,"43,400,000","69,024,792","282,993",252,https://www.youtube.com/watch?v=aSJ_jcEPOu0
Hawas - Teri Galiyon Mein Na Rakheinge Kadam - Mohd Rafi,Shemaroo,"57,600,000","67,640,090","268,236",221,https://www.youtube.com/watch?v=0weRgdk8_do
Aane Se Uske Aaye Bahar - Jeene Ki Raah - Mohammed Rafi Hit Songs - Laxmikant Pyarelal Songs,Bollywood Classics,"20,600,000","64,586,064","278,745",190,https://www.youtube.com/watch?v=GNTNnp5rk5E
